#
# File description
#
@FILENAME=D:\GAMES\2048\2048.DAT\IMAGES\TINY.PXY
@SEPARATOR=,
#
# Structure description
#
@COLUMN1=INT    # Index
@COLUMN2=INT    # X position
@COLUMN3=INT    # Y position
@COLUMN4=INT    # Width
@COLUMN5=INT    # Height
#
# List of frames coords
#
0,5,5,35,35
1,44,5,35,35
2,82,5,35,35
3,121,5,35,35
4,5,44,35,35
5,44,44,35,35
6,82,44,35,35
7,121,44,35,35
8,5,82,35,35
9,44,82,35,35
10,82,82,35,35
11,121,82,35,35
12,5,121,35,35
13,44,121,35,35
14,82,121,35,35
15,121,121,35,35
#
20,0,0,160,40
21,0,40,160,40
22,0,80,160,40
23,0,120,160,40
24,0,0,40,160
25,40,0,40,160
26,80,0,40,160
27,120,0,40,160
#
#
