#
# File description
#
@FILENAME=D:\GAMES\2048\2048.DAT\IMAGES\SMALL.PXY
@SEPARATOR=,
#
# Structure description
#
@COLUMN1=INT    # Index
@COLUMN2=INT    # X position
@COLUMN3=INT    # Y position
@COLUMN4=INT    # Width
@COLUMN5=INT    # Height
#
# List of frames coords
#
0,8,8,54,54
1,68,8,54,54
2,128,8,54,54
3,189,8,54,54
4,8,68,54,54
5,68,68,54,54
6,129,68,54,54
7,189,68,54,54
8,8,129,54,54
9,68,129,54,54
10,129,129,54,54
11,189,129,54,54
12,8,189,54,54
13,68,189,54,54
14,129,189,54,54
15,189,189,54,54
#
20,0,0,250,62
21,0,63,250,62
22,0,125,250,62
23,0,187,250,62
24,0,0,62,250
25,63,0,62,250
26,125,0,62,250
27,187,0,62,250
#
#
