#
# File description
#
@FILENAME=D:\GAMES\2048\2048.DAT\IMAGES\ORIGINAL.PXY
@SEPARATOR=,
#
# Structure description
#
@COLUMN1=INT    # Index
@COLUMN2=INT    # X position
@COLUMN3=INT    # Y position
@COLUMN4=INT    # Width
@COLUMN5=INT    # Height
#
# List of frames coords
#
0,15,15,107,107
1,136,15,107,107
2,257,15,107,107
3,378,15,107,107
4,15,136,107,107
5,136,136,107,107
6,257,136,107,107
7,378,136,107,107
8,15,257,107,107
9,136,257,107,107
10,257,257,107,107
11,378,257,107,107
12,15,378,107,107
13,136,378,107,107
14,257,378,107,107
15,378,378,107,107
#
20,0,0,500,125
21,0,125,500,125
22,0,250,500,125
23,0,375,500,125
24,0,0,125,500
25,125,0,125,500
26,250,0,125,500
27,375,0,125,500
#
#
