1|2|182|101|whole colum left 3|47|1|0|0|0|0|0|0|
2|2|206|101|whole colum right 3|51|1|0|0|0|0|0|0|
3|2|183|81|whole colum left 4|46|1|0|0|0|0|0|0|
4|2|207|81|whole colum right 4|50|1|0|0|0|0|0|0|
5|2|188|61|whole colum left 5|57|1|0|0|0|0|0|0|
6|2|207|61|whole colum right 5|62|1|0|0|0|0|0|0|
7|2|189|41|whole colum left 6|56|1|0|0|0|0|0|0|
8|2|207|41|whole colum right 6|61|1|0|0|0|0|0|0|
9|2|191|21|whole colum left 7|55|1|0|0|0|0|0|0|
10|2|207|21|whole colum right 7|60|1|0|0|0|0|0|0|
11|2|191|1|whole colum left 8|54|1|0|0|0|0|0|0|
12|2|207|1|whole colum right 8|59|1|0|0|0|0|0|0|
23|2|14|93|soil 1|31|1|0|0|0|0|0|0|
24|2|0|98|soil 2|31|1|0|0|0|0|0|0|
25|2|36|109|soil 3|31|1|0|0|0|0|0|0|
26|2|-53|114|soil 4|31|1|0|0|0|0|0|0|
27|2|0|125|soil 6|31|1|0|0|0|0|0|0|
28|2|0|141|soil 7|32|1|0|0|0|0|0|0|
29|2|96|115|soil 8|31|1|0|0|0|0|0|0|
30|2|192|115|soil 9|31|1|0|0|0|0|0|0|
31|2|288|115|soil 10|31|1|0|0|0|0|0|0|
32|2|96|131|soil 11|32|1|0|0|0|0|0|0|
33|2|192|131|soil 13|32|1|0|0|0|0|0|0|
34|2|288|131|soil 14|32|1|0|0|0|0|0|0|
35|2|224|147|soil 15|31|1|0|0|0|0|0|0|
36|2|128|147|soil 16|32|1|0|0|0|0|0|0|
37|2|32|144|soil 17|31|1|0|0|0|0|0|0|
38|2|-6|152|soil 18|31|1|0|0|0|0|0|0|
13|2|0|92|slab1|30|1|0|0|0|0|0|0|
14|2|32|92|slab 2|30|1|0|0|0|0|0|0|
15|2|64|92|slab 3|30|1|0|0|0|0|0|0|
16|2|96|92|stairs|35|1|0|0|0|0|0|0|
17|2|128|109|slab 4|30|1|0|0|0|0|0|0|
18|2|160|109|slab 5|30|1|0|0|0|0|0|0|
19|2|192|109|slab 6|30|1|0|0|0|0|0|0|
20|2|224|109|slab 7|30|1|0|0|0|0|0|0|
21|2|256|109|slab 8|30|1|0|0|0|0|0|0|
22|2|288|109|slab 9|30|1|0|0|0|0|0|0|
39|2|0|0|soil 19|31|1|0|0|0|0|0|0|
43|2|256|10|ceiling pikes 1|24|1|0|0|0|0|0|0|
44|2|192|10|ceiling pikes 2|25|1|0|0|0|0|0|0|
45|2|128|10|ceiling pikes 3|24|1|0|0|0|0|0|0|
46|2|64|10|ceiling pikes 4|24|1|0|0|0|0|0|0|
47|2|0|9|ceiling pikes 5|25|1|0|0|0|0|0|0|
53|2|-6|79|left column 1|62|1|0|0|0|0|0|0|
52|2|-6|59|left column 2|61|1|0|0|0|0|0|0|
54|2|-7|39|left column 3|60|1|0|0|0|0|0|0|
55|2|-6|19|New node 55|59|1|0|0|0|0|0|0|
40|2|96|0|soil 20|31|1|0|0|0|0|0|0|
41|2|191|0|soil 21|31|1|0|0|0|0|0|0|
42|2|278|0|soil 22|31|1|0|0|0|0|0|0|
48|2|33|69|ladder 1|63|1|0|0|0|0|0|0|
49|2|33|46|ladder 2|63|1|0|0|0|0|0|0|
50|2|33|23|ladder 3|63|1|0|0|0|0|0|0|
51|2|33|0|ladder 4|63|1|0|0|0|0|0|0|
