 9  5 1990  7 12 37 38 40 46 18
 9  8 1990 17 18 21 37 38 39 36
 9 12 1990 14 23 29 35 39 47 44
 9 15 1990  9 22 30 39 42 45 41
 9 19 1990  7  8 10 20 31 49 27
 9 22 1990  8  9 17 22 43 45 16
 9 26 1990  4  5  7 18 33 42 39
 9 29 1990  6  9 12 33 34 48  3
10  3 1990 17 20 36 40 43 47 26
10  6 1990 17 18 32 34 39 46  8
10 10 1990 10 14 34 37 40 49 42
10 13 1990  1  6  8 30 32 44 17
10 17 1990  9 13 14 33 39 40  8
10 20 1990  6 14 15 19 26 28 49
10 24 1990  1  9 14 20 43 48 44
10 27 1990  3 16 18 24 31 44 22
10 31 1990  3 10 14 16 17 39 11
11  3 1990  1 11 16 27 32 49 37
11  7 1990 19 30 32 39 42 49 28
11 10 1990  5 10 19 29 35 42  7
11 14 1990 21 26 29 31 46 47 14
11 17 1990  4 16 24 28 35 46  5
11 21 1990  6 10 20 30 31 39  2
11 24 1990  3  5 13 14 31 40 23
11 28 1990 12 21 28 34 38 39 25
12  1 1990  3  5 14 26 34 41 12
12  5 1990 10 17 22 26 34 45 38
12  8 1990  1 19 21 23 24 46  7
12 12 1990  5  9 23 27 28 39 42
12 15 1990 21 26 29 33 35 43 25
12 19 1990 20 27 34 39 42 47 14
12 22 1990  2  3 13 26 36 38 40
12 26 1990 16 19 25 32 38 47 30
12 29 1990  7 25 28 37 44 48 11
 1  2 1991  2 14 19 20 26 49  8
 1  5 1991  7  9 21 25 26 46 13
 1  9 1991  2  5  9 17 22 38 12
 1 12 1991 11 22 24 37 39 49 27
 1 16 1991 17 33 34 37 41 47 12
 1 19 1991  5  7 10 15 24 29 43
 1 23 1991 18 23 29 38 41 44 36
 1 26 1991  8 28 30 31 32 35 26
 1 30 1991  1 13 17 23 30 40 14
 2  2 1991  5 10 16 20 29 42  6
 2  6 1991 12 15 17 28 38 43 33
 2  9 1991  9 11 21 28 29 37 38
 2 13 1991  3  5 23 24 34 47 31
 2 16 1991  6  7 23 30 38 45 13
 2 20 1991  4 16 18 28 31 38 46
 2 23 1991 10 11 17 29 38 47 28
 2 27 1991  4  6 18 33 42 44 20
 3  2 1991  6  7 12 37 45 48 28
 3  6 1991 16 17 23 28 43 49 29
 3  9 1991  8 13 22 34 43 45 16
 3 13 1991  4  5 15 18 25 41 11
 3 16 1991 21 22 29 31 42 47 36
 3 20 1991  2  5  6  8 32 46 49
 3 23 1991 13 17 22 28 31 41 48
 3 27 1991  7 14 17 22 30 37 21
 3 30 1991  1  8 18 19 29 33 41
 4  3 1991  3  4  9 29 38 47 31
 4  6 1991  4 10 19 24 41 45 27
 4 10 1991  1  3  7 23 28 42 26
 4 13 1991 16 24 26 27 39 45  8
 4 17 1991 10 15 22 25 27 40 30
 4 20 1991  6 19 25 39 44 47  1
 4 24 1991  9 18 22 26 32 36 19
 4 27 1991 14 19 20 27 40 45 11
 5  1 1991 10 21 35 36 42 44 40
 5  4 1991  8 12 25 30 43 49 45
 5  8 1991 16 25 30 38 46 48  9
 5 11 1991  6 30 31 32 35 47 14
 5 15 1991  5 10 27 29 35 45 36
 5 18 1991 16 18 20 26 37 38  3
 5 22 1991 16 26 30 33 43 49 17
 5 25 1991  2 23 28 32 33 47 44
 5 29 1991  8 18 20 26 29 37 17
 6  1 1991  7  8 13 25 38 44 40
 6  5 1991 11 18 26 33 47 49 34
 6  8 1991 11 13 26 28 36 41 34
 6 12 1991 14 20 32 35 40 41 38
 6 15 1991  3  9 17 24 39 43  2
 6 19 1991  4  8 30 39 40 45 46
 6 22 1991 20 24 35 36 40 45 43
 6 26 1991  8 10 17 26 37 41 30
 6 29 1991  3  5 10 12 13 40 43
 7  3 1991  6 11 15 25 40 46 12
 7  6 1991  6 10 32 37 40 48 26
 7 10 1991  7 10 23 26 27 32 41
 7 13 1991  3  9 24 36 33 47  4
 7 17 1991  2  8  9 20 23 43  4
 7 20 1991 10 11 22 28 30 33 41
 7 24 1991  7 15 19 32 33 34 20
 7 27 1991  9 30 31 33 37 43 27
 7 31 1991  7 12 14 16 35 39 21
 8  3 1991  4 23 25 36 38 43 34
 8  7 1991  2  7 11 15 42 49 19
 8 10 1991  6  7 19 27 37 45  9
